guy: guys guy 
inability: inability 
recurring: recurring 
talk: talk 
tradu: tradu 
per: per 
du: du 
italic: italics 
woo: woo 
bitch: bitch 
chorus: chorus 
still: still 
cat: cat 
section: section 
gardner: gardner 
nobody: nobody 
syllable: syllables 
let: let 
throughout: throughout 
nigga: nigga niggas 
kamikaze: kamikaze 
feedback: feedback 
pas: pass 
wheel: wheels wheel 
vroom: vroom 
hate: hate 
good: good 
remixes: remixes 
knife: knives 
pour: pour 
little: little 
mark: marks 
mi: mi 
eating: eating 
grass: grass 
prayin: prayin 
traductions: traductions 
coupe: coupe 
collection: collection 
stick: stick 
tell: tell 
nitin: nitin 
use: use 
cracker: cracker 
manner: manners manner 
lyric: lyrics lyric 
instance: instance 
upswing: upswing 
give: give 
spite: spite 
deck: decks 
starting: starting 
grammy: grammy 
beginning: beginnings 
dick: dicks 
ein: ein 
pointed: pointed 
information: information 
shady: shady 
kid: kids 
w: w 
world: world 
holding: holdings 
humility: humility 
syruped: syruped 
tony: tony 
traduction: traduction 
goin: goin 
wonderful: wonderful 
v: v 
ha: ha 
shroom: shroom 
tied: tied 
stone: stone 
back: back 
wanna: wanna 
ability: ability 
much: much 
aplausos: aplausos 
trophy: trophy trophies 
privacy: privacy 
hope: hope 
want: want 
artist: artists 
realnost: realnost 
rapper: rappers 
ayy: ayy 
pack: packs 
rap: raps rap 
loved: loved 
articulated: articulated 
california: california 
malus: malus 
alright: alright 
fall: fall 
joyner: joyner 
another: another 
bend: bend 
villain: villain 
juice: juice 
humble: humble 
eviri: eviri 
run: run 
buffet: buffet 
capicchioni: capicchioni 
move: move 
answer: answer answers 
thinkin: thinkin 
mower: mower 
roll: roll 
pay: pay 
tirelessly: tirelessly 
share: share shares 
rip: rip 
dropped: dropped 
mic: mic 
second: second 
never: never 
anyone: anyone 
k: k 
think: think 
guideline: guidelines 
check: check 
song: song songs 
credit: credits 
andi: andi 
bein: bein 
man: man 
even: even 
slower: slower 
engineer: engineer 
battle: battle 
andy: andy 
money: money 
everything: everything 
law: law 
comment: comment comments 
hardcore: hardcore 
truth: truth 
structure: structure 
